element;Tc
Li1.3K1Sr2Nb3O10;4
U0.85Nb0.15;1.9
U0.85Mo0.15;2.11
U0.85Pt0.15;0.75
U0.85Ru0.15;1.4
U0.85Ti0.15;0.45
Pr2Pt3Ge5;6.7
Mo1C1;5.8
Bi2Pd1;1.6
Bi2Pd1;2.78
Ga41Mo1;10
As2Cd3;0.186
As2Cd3;0.185
As2Cd3;0.186
Ce1Ni1C2;3
Au1Be1;3.2
H1Pt1;6.7
Al6Re1;0.74
Zr1Ir1Si1;1.7
S1Sn1;5.8
Se1Sn1;4.2
P1W1;0.834
Mo3P1;5.5
Y1Ni1Si3;1.36
Lu1Ni1Si3;1.63
Nd0.04La0.96Ni1C2;2.16
Nd0.03La0.97Ni1C2;2.36
Nd0.02La0.98Ni1C2;2.66
Nd0.01La0.99Ni1C2;3.25
La1Ni1C2;3.25
Pd1S2;2
Pr1Pt4Ge12;7.91
Pr0.9La0.1Pt4Ge12;7.85
Pr0.7La0.3Pt4Ge12;7.87
Pr0.5La0.5Pt4Ge12;7.97
Pr0.3La0.7Pt4Ge12;8.02
Pr0.2La0.8Pt4Ge12;8.07
Pr0.1La0.9Pt4Ge12;8.22
Rb1;2.1
Eu1Fe2As2;27
Be13U1;0.88
Be13U1;0.88
Re1;1.69
Re0.88Mo0.12;7.45
Re0.8Mo0.2;9.02
Re0.77Mo0.23;9.43
Re0.77Mo0.23;8.65
Re0.65Mo0.35;6.3
Re0.6Mo0.4;6.07
Re0.55Mo0.45;6.6
Re0.4Mo0.6;13
Re0.35Mo0.65;12.05
Re0.25Mo0.75;10.3
Re0.2Mo0.8;8.5
Re0.15Mo0.85;6.74
Re0.1Mo0.9;3.02
Mo1;0.92
Y7Ru4In1Ge12;5.8
Sr0.1Bi2Se3;2.5
Zr5Ge2.5Pt0.5;2.8
Zr5Ge2.8Pt0.2;2.6
Zr5Ge2Pt1;3.5
Ba1Fe2S3;24
La0.34Na0.66Fe2As2;27
Eu1Sr2Bi2S2Se2F4;2.94
Eu2Sr1Bi2S2.5Se1.5F4;2.35
Eu2Sr1Bi2S2Se2F4;2.575
Ce1Bi1S2O1;1.3
Ce0.9Pr0.1Bi1S2O1;1.4
Ce0.7Pr0.3Bi1S2O1;2.12
Ce0.5Pr0.5Bi1S2O1;2.21
Ce0.3Pr0.7Bi1S2O1;1.92
Ce0.1Pr0.9Bi1S2O1;2
Ce0.5Pr0.5Bi1S2O1;2.4
B2Nb1;1.3
Nb0.99Ni0.01B2;3.9
Nb0.97Ni0.03B2;4.3
Nb0.95Ni0.05B2;4.6
Nb0.93Ni0.07B2;5.1
Nb0.91Ni0.09B2;6
Nb0.9Ni0.1B2;5.4
Nb0.5Os0.5;3.07
Bi3Ni1;4.1
Te2U1;1.65
Pt1Sb1S1;0.12
La1Fe2As2;9.4
La0.2Na0.8Fe2As2;27
Te2U1;1.65
La1Fe2As2;7.4
La1Fe2As2;12.2
La0.3Na0.7Fe2As2;22.1
La0.2Na0.8Fe2As2;27
La0.15Na0.85Fe2As2;26
Pb2Pd1;3
Pb1.8Bi0.2Pd1;3.3
Pb1.6Bi0.4Pd1;2.8
Pb1.4Bi0.6Pd1;3.3
Au2Pb1;3.61
Sn1Ta1S2;3
Sn1Ta1S2;3
Ca10Pt4.5Fe9.5As18;32
Rb1Cr3As3;7.17
Ca1K1Fe4As4;36
Ca1K1Fe3.932Ni0.068As4;28.2
Ca1K1Fe3.864Ni0.136As4;19.3
W3Al2C1;7.5
Bi2Te2Se1;5.45
Bi2Te2Se1;5.45
Bi1.75Sb0.25Te2Se1;3.9
Bi1.75Sb0.25Te2Se1;3.9
Bi1.5Sb0.5Te2Se1;5.28
Bi1.5Sb0.5Te2Se1;5.28
Bi1Sb1Te2Se1;2.4
Bi1Sb1Te2Se1;2.4
Fe0.995V0.005Se1;8.6
Fe0.99V0.01Se1;8.5
Fe0.98V0.02Se1;8.5
Li0.6M1Fe0.995V0.005Se1;41.1
Li0.6M1Fe0.995V0.005Se1;40.2
Li0.6M1Fe0.995V0.01Se1;41.7
Li0.6M1Fe0.995V0.01Se1;40.9
Li0.6M1Fe0.995V0.02Se1;40.7
Li0.6M1Fe0.995V0.02Se1;40
Ta1Os1Si1;4.855
K1Ca2Fe4As4F2;33
Bi2Pd1;4.98
Bi2Pd1;4.81
Bi2Pd1;4.72
Bi2Pd1;4.62
Bi2Pd1;4.47
Bi2Pd1;4.36
Be13U1;0.89
Be13U1;0.53
Be13U1;0.22
Sr0.1Bi2Se3;3.1
Fe1Se0.89S0.11;10
Fe1Se1;8.91
Fe1Se0.95S0.05;9.86
Fe1Se0.91S0.09;10.33
Fe1Se0.86S0.14;10.52
B4.2W1;2.1
Bi3Ni1;4.07
Se2Ta1.06;3.2
Se2Ta1.08;2.95
Se2Ta1.1;2.1
Mo3P1;5.6
Nb5Sn2Al1;2
